e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050001-2024_07_02_01_50_17_CDT.h5 mpd_run_hvramp_rctl_087_p131.data high 256
205.986 packet-0050001-2024_07_02_02_00_19_CDT.h5 mpd_run_hvramp_rctl_087_p132.data high 256
205.986 packet-0050001-2024_07_02_02_00_19_CDT.h5 mpd_run_hvramp_rctl_087_p133.data high 256
205.986 packet-0050001-2024_07_02_02_10_20_CDT.h5 mpd_run_hvramp_rctl_087_p134.data high 256
205.986 packet-0050001-2024_07_02_02_10_20_CDT.h5 mpd_run_hvramp_rctl_087_p135.data high 256
205.986 packet-0050001-2024_07_02_02_20_21_CDT.h5 mpd_run_hvramp_rctl_087_p136.data high 256
205.986 packet-0050001-2024_07_02_02_20_21_CDT.h5 mpd_run_hvramp_rctl_087_p137.data high 256
205.986 packet-0050001-2024_07_02_02_30_22_CDT.h5 mpd_run_hvramp_rctl_087_p138.data high 256
205.986 packet-0050001-2024_07_02_02_30_22_CDT.h5 mpd_run_hvramp_rctl_087_p139.data high 256
205.986 packet-0050001-2024_07_02_02_30_22_CDT.h5 mpd_run_hvramp_rctl_087_p139.data high 256
205.986 packet-0050001-2024_07_02_02_30_22_CDT.h5 mpd_run_hvramp_rctl_087_p139.data high 256
205.986 packet-0050001-2024_07_02_02_40_23_CDT.h5 mpd_run_hvramp_rctl_087_p140.data high 256
205.986 packet-0050001-2024_07_02_02_40_23_CDT.h5 mpd_run_hvramp_rctl_087_p141.data high 256
205.986 packet-0050001-2024_07_02_02_50_24_CDT.h5 mpd_run_hvramp_rctl_087_p142.data high 256
205.986 packet-0050001-2024_07_02_02_50_24_CDT.h5 mpd_run_hvramp_rctl_087_p143.data high 256
205.986 packet-0050001-2024_07_02_03_00_25_CDT.h5 mpd_run_hvramp_rctl_087_p144.data high 256
205.986 packet-0050001-2024_07_02_03_00_25_CDT.h5 mpd_run_hvramp_rctl_087_p145.data high 256
205.986 packet-0050001-2024_07_02_03_10_26_CDT.h5 mpd_run_hvramp_rctl_087_p146.data high 256
205.986 packet-0050001-2024_07_02_03_10_26_CDT.h5 mpd_run_hvramp_rctl_087_p147.data high 256
205.986 packet-0050001-2024_07_02_03_20_27_CDT.h5 mpd_run_hvramp_rctl_087_p148.data high 256
205.986 packet-0050001-2024_07_02_03_20_27_CDT.h5 mpd_run_hvramp_rctl_087_p149.data high 256
205.986 packet-0050001-2024_07_02_03_30_28_CDT.h5 mpd_run_hvramp_rctl_087_p150.data high 256
205.986 packet-0050001-2024_07_02_03_30_28_CDT.h5 mpd_run_hvramp_rctl_087_p151.data high 256
205.986 packet-0050001-2024_07_02_03_40_29_CDT.h5 mpd_run_hvramp_rctl_087_p152.data high 256
205.986 packet-0050001-2024_07_02_03_40_29_CDT.h5 mpd_run_hvramp_rctl_087_p153.data high 256
205.986 packet-0050001-2024_07_02_03_50_30_CDT.h5 mpd_run_hvramp_rctl_087_p154.data high 256
205.986 packet-0050001-2024_07_02_03_50_30_CDT.h5 mpd_run_hvramp_rctl_087_p155.data high 256
205.986 packet-0050001-2024_07_02_04_00_31_CDT.h5 mpd_run_hvramp_rctl_087_p156.data high 256
205.986 packet-0050001-2024_07_02_04_00_31_CDT.h5 mpd_run_hvramp_rctl_087_p157.data high 256
205.986 packet-0050001-2024_07_02_04_10_32_CDT.h5 mpd_run_hvramp_rctl_087_p158.data high 256
205.986 packet-0050001-2024_07_02_04_10_32_CDT.h5 mpd_run_hvramp_rctl_087_p159.data high 256
205.986 packet-0050001-2024_07_02_04_10_32_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_04_20_34_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_02_04_20_34_CDT.h5 mpd_run_hvramp_rctl_087_p160.data high 256
205.986 packet-0050001-2024_07_02_04_20_34_CDT.h5 mpd_run_hvramp_rctl_087_p161.data high 256
205.986 packet-0050001-2024_07_02_04_30_35_CDT.h5 mpd_run_hvramp_rctl_087_p162.data high 256
205.986 packet-0050001-2024_07_02_04_30_35_CDT.h5 mpd_run_hvramp_rctl_087_p163.data high 256
205.986 packet-0050001-2024_07_02_04_40_36_CDT.h5 mpd_run_hvramp_rctl_087_p164.data high 256
205.986 packet-0050001-2024_07_02_04_40_36_CDT.h5 mpd_run_hvramp_rctl_087_p165.data high 256
205.986 packet-0050001-2024_07_02_04_40_36_CDT.h5 mpd_run_hvramp_rctl_087_p165.data high 256
205.986 packet-0050001-2024_07_02_04_40_36_CDT.h5 mpd_run_hvramp_rctl_087_p165.data high 256
205.986 packet-0050001-2024_07_02_04_50_37_CDT.h5 mpd_run_hvramp_rctl_087_p166.data high 256
205.986 packet-0050001-2024_07_02_04_50_37_CDT.h5 mpd_run_hvramp_rctl_087_p167.data high 256
205.986 packet-0050001-2024_07_02_05_00_38_CDT.h5 mpd_run_hvramp_rctl_087_p168.data high 256
205.986 packet-0050001-2024_07_02_05_00_38_CDT.h5 mpd_run_hvramp_rctl_087_p169.data high 256
205.986 packet-0050001-2024_07_02_05_10_39_CDT.h5 mpd_run_hvramp_rctl_087_p170.data high 256
205.986 packet-0050001-2024_07_02_05_10_39_CDT.h5 mpd_run_hvramp_rctl_087_p171.data high 256
205.986 packet-0050001-2024_07_02_05_20_40_CDT.h5 mpd_run_hvramp_rctl_087_p172.data high 256
205.986 packet-0050001-2024_07_02_05_20_40_CDT.h5 mpd_run_hvramp_rctl_087_p173.data high 256
205.986 packet-0050001-2024_07_02_05_30_41_CDT.h5 mpd_run_hvramp_rctl_087_p174.data high 256
205.986 packet-0050001-2024_07_02_05_30_41_CDT.h5 mpd_run_hvramp_rctl_087_p175.data high 256
205.986 packet-0050001-2024_07_02_05_40_42_CDT.h5 mpd_run_hvramp_rctl_087_p176.data high 256
205.986 packet-0050001-2024_07_02_05_40_42_CDT.h5 mpd_run_hvramp_rctl_087_p177.data high 256
205.986 packet-0050001-2024_07_02_05_50_43_CDT.h5 mpd_run_hvramp_rctl_087_p178.data high 256
205.986 packet-0050001-2024_07_02_05_50_43_CDT.h5 mpd_run_hvramp_rctl_087_p179.data high 256
205.986 packet-0050001-2024_07_02_06_00_44_CDT.h5 mpd_run_hvramp_rctl_087_p180.data high 256
205.986 packet-0050001-2024_07_02_06_00_44_CDT.h5 mpd_run_hvramp_rctl_087_p181.data high 256
205.986 packet-0050001-2024_07_02_06_10_45_CDT.h5 mpd_run_hvramp_rctl_087_p182.data high 256
205.986 packet-0050001-2024_07_02_06_10_45_CDT.h5 mpd_run_hvramp_rctl_087_p183.data high 256
205.986 packet-0050001-2024_07_02_06_20_46_CDT.h5 mpd_run_hvramp_rctl_087_p184.data high 256
205.986 packet-0050001-2024_07_02_06_20_46_CDT.h5 mpd_run_hvramp_rctl_087_p185.data high 256
205.986 packet-0050001-2024_07_02_06_30_47_CDT.h5 mpd_run_hvramp_rctl_087_p186.data high 256
205.986 packet-0050001-2024_07_02_06_30_47_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
